面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
215,1021210,冠翔世紀溫泉會館,宜蘭縣礁溪鄉德陽村仁愛路66巷6號,碳酸氫鹽泉,宜蘭縣政府
216,1021213,錦屏美人湯館,新竹縣尖石鄉錦屏村5鄰69號之1,碳酸氫鹽泉,新竹縣政府
217,1021213,泰雅渡假村,南投縣仁愛鄉互助村清風路45號,碳酸氫鹽泉,南投縣政府
218,1021216,帥王溫泉飯店,宜蘭縣礁溪鄉玉石村公園路1號,碳酸氫鹽泉,宜蘭縣政府
219,1021216,媚登峰旅社,宜蘭縣礁溪鄉玉石村公園路3號,碳酸氫鹽泉,宜蘭縣政府
220,1021216,湯城溫泉會館,宜蘭縣礁溪鄉玉石村公園路20號,碳酸氫鹽泉,宜蘭縣政府
221,1021216,瑞川溫泉,宜蘭縣礁溪鄉德陽村德陽路162號,碳酸氫鹽泉,宜蘭縣政府
222,1021216,和斯頓旅社,宜蘭縣礁溪鄉德陽村礁溪路五段99號,碳酸氫鹽泉,宜蘭縣政府
223,1021216,明池大飯店,宜蘭縣礁溪鄉大忠村五峰路9號1-5樓,碳酸氫鹽泉,宜蘭縣政府
224,1021216,惠來谷關溫泉會館,臺中市和平區博愛里東關路一段溫泉巷10號,碳酸氫鹽泉,臺中縣政府
225,1021224,小而美租賃,宜蘭縣礁溪鄉德陽村仁愛路49號1-3樓,碳酸氫鹽泉,宜蘭縣政府
226,1021224,凱城山莊,宜蘭縣礁溪鄉大忠村大忠路144號,碳酸氫鹽泉,宜蘭縣政府
227,1021224,玉溫泉民宿,花蓮縣富里鄉吳江村安通58-9號,氯化物硫酸鹽泉,花蓮縣政府
228,1021230,下馬民宿,臺東縣海端鄉霧鹿村下馬48號,硫酸鹽泉,臺東縣政府
229,1021230,玉清浴池,宜蘭縣礁溪鄉德陽村仁愛路15巷2號,碳酸氫鹽泉,宜蘭縣政府
230,1021230,戀戀溫泉旅館池,宜蘭縣礁溪鄉德陽村仁愛路9號,碳酸氫鹽泉,宜蘭縣政府
231,1030102,長榮鳳凰酒店(礁溪),宜蘭縣礁溪鄉玉石村健康路77號,碳酸氫鹽泉,宜蘭縣政府
232,1030103,溫泉忠義堂,臺東縣卑南鄉溫泉村龍泉路38號,碳酸氫鹽泉,臺東縣政府
233,1030106,阿先湯泉養生會館,宜蘭縣礁溪鄉忠孝路103巷22弄1號,碳酸氫鹽泉,宜蘭縣政府
234,1030106,每日溫泉旅店,宜蘭縣礁溪鄉德陽路65號,碳酸氫鹽泉,宜蘭縣政府
235,1030106,夢雲閣旅社,宜蘭縣礁溪鄉信義路5號1-2樓及礁溪路五段7號3樓之6、7,碳酸氫鹽泉,宜蘭縣政府
236,1030106,湯仔城旅館,宜蘭縣礁溪鄉德陽村仁愛路15巷16號,碳酸氫鹽泉,宜蘭縣政府
237,1030106,賓士旅館,宜蘭縣礁溪鄉礁溪路五段21號,碳酸氫鹽泉,宜蘭縣政府
238,1030106,鴻月莊旅社,宜蘭縣礁溪鄉溫泉路12號1-4樓,碳酸氫鹽泉,宜蘭縣政府
239,1030106,亞都旅館,宜蘭縣礁溪鄉礁溪路五段15號,碳酸氫鹽泉,宜蘭縣政府
240,1030109,家園溫泉旅社,宜蘭縣礁溪鄉溫泉路10號,碳酸氫鹽泉,宜蘭縣政府
241,1030113,來來大旅社,宜蘭縣礁溪鄉德陽村德陽路47號,碳酸氫鹽泉,宜蘭縣政府
242,1030114,愛娜山莊,宜蘭縣礁溪鄉德陽村德陽路175號,碳酸氫鹽泉,宜蘭縣政府
243,1030114,礁溪溫泉旅館,宜蘭縣礁溪鄉德陽村仁愛路8號,碳酸氫鹽泉,宜蘭縣政府
244,1030120,雙鹿溫泉旅館,新北市烏來區烏來街129號,碳酸氫鹽泉,新北市政府
245,1030120,秀山大飯店,新北市烏來區烏來街83號,碳酸氫鹽泉,新北市政府
246,1030121,漾之谷民宿,南投縣埔里鎮蜈蚣里中山路一段151號,碳酸氫鹽泉,南投縣政府
247,1030124,和風溫泉會館礁溪店,宜蘭縣礁溪鄉德陽村礁溪路五段97號,碳酸氫鹽泉,宜蘭縣政府
248,1030127,凱麗溫泉飯店,宜蘭縣礁溪鄉溫泉路38號,碳酸氫鹽泉,宜蘭縣政府
249,1030127,帝王大飯店,宜蘭縣礁溪鄉礁溪路五段156號,碳酸氫鹽泉,宜蘭縣政府
250,1030127,濱海浴室,宜蘭縣礁溪鄉德陽村德陽路58號,碳酸氫鹽泉,宜蘭縣政府
251,1030128,和風溫泉會館,宜蘭縣礁溪鄉德陽村德陽路30號,碳酸氫鹽泉,宜蘭縣政府
252,1030212,水舍銀光(浴室),臺北市北投區溫泉路銀光巷22號,硫磺泉,臺北市政府
253,1030220,山月溫泉館,臺東縣鹿野鄉鹿野村鹿鳴路97號,碳酸氫鹽泉,臺東縣政府
254,1030221,沙力達民宿,新北市烏來區西羅岸路37號,碳酸氫鹽泉,新北市政府
255,1030221,泰安戀情民宿,苗栗縣泰安鄉錦水村橫龍山68-2號,碳酸氫鹽泉,苗栗縣政府
256,1030224,嘉一大旅社,宜蘭縣礁溪鄉德陽村德陽路16號,碳酸氫鹽泉,宜蘭縣政府
257,1030225,金龍溫泉客棧,宜蘭縣礁溪鄉德陽村中山路二段185號,碳酸氫鹽泉,宜蘭縣政府
